paid_only,frequency,progress,stat.question_id,stat.question__article__slug,title,slug,is_hidden,total_accepted,total_submissions,id,stat.is_new_question,difficulty.level,ProblemDescription,num_solutions,num_likes,Python_Declaration,Python_Solutions
False,0,0,939,valid-permutations-for-di-sequence,Valid Permutations for DI Sequence,valid-permutations-for-di-sequence,False,13602,23526,903,False,3,"Can you solve this real interview question? Valid Permutations for DI Sequence - You are given a string s of length n where s[i] is either:

 * 'D' means decreasing, or
 * 'I' means increasing.

A permutation perm of n + 1 integers of all the integers in the range [0, n] is called a valid permutation if for all valid i:

 * If s[i] == 'D', then perm[i] > perm[i + 1], and
 * If s[i] == 'I', then perm[i] < perm[i + 1].

Return the number of valid permutations perm. Since the answer may be large, return it modulo 109 + 7.

 

Example 1:


Input: s = ""DID""
Output: 5
Explanation: The 5 valid permutations of (0, 1, 2, 3) are:
(1, 0, 3, 2)
(2, 0, 3, 1)
(2, 1, 3, 0)
(3, 0, 2, 1)
(3, 1, 2, 0)


Example 2:


Input: s = ""D""
Output: 1


 

Constraints:

 * n == s.length
 * 1 <= n <= 200
 * s[i] is either 'I' or 'D'.",Solutions (87),653,"# Created by asetti2002 at 2024/04/17 02:14
# leetgo: 1.4.3
# https://leetcode.com/problems/valid-permutations-for-di-sequence/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def numPermsDISequence(self, s: str) -> int:
        

# @lc code=end

if __name__ == ""__main__"":
    s: str = deserialize(""str"", read_line())
    ans = Solution().numPermsDISequence(s)
    print(""\noutput:"", serialize(ans, ""integer""))
","class Solution:
    def numPermsDISequence(self, s: str) -> int:
        n = len(s)
        MOD = 10**9 + 7
        dp = [[0] * (n + 1) for _ in range(n + 1)]
        dp[0][0] = 1
        
        for i in range(1, n + 1):
            for j in range(i + 1):
                if s[i - 1] == 'D':
                    for k in range(j, i):
                        dp[i][j] += dp[i - 1][k]
                else:
                    for k in range(j):
                        dp[i][j] += dp[i - 1][k]
                dp[i][j] %= MOD
        
        return sum(dp[n]) % MOD"
False,0,0,940,fruit-into-baskets,Fruit Into Baskets,fruit-into-baskets,False,327853,749808,904,False,2,"Can you solve this real interview question? Fruit Into Baskets - You are visiting a farm that has a single row of fruit trees arranged from left to right. The trees are represented by an integer array fruits where fruits[i] is the type of fruit the ith tree produces.

You want to collect as much fruit as possible. However, the owner has some strict rules that you must follow:

 * You only have two baskets, and each basket can only hold a single type of fruit. There is no limit on the amount of fruit each basket can hold.
 * Starting from any tree of your choice, you must pick exactly one fruit from every tree (including the start tree) while moving to the right. The picked fruits must fit in one of your baskets.
 * Once you reach a tree with fruit that cannot fit in your baskets, you must stop.

Given the integer array fruits, return the maximum number of fruits you can pick.

 

Example 1:


Input: fruits = [1,2,1]
Output: 3
Explanation: We can pick from all 3 trees.


Example 2:


Input: fruits = [0,1,2,2]
Output: 3
Explanation: We can pick from trees [1,2,2].
If we had started at the first tree, we would only pick from trees [0,1].


Example 3:


Input: fruits = [1,2,3,2,2]
Output: 4
Explanation: We can pick from trees [2,3,2,2].
If we had started at the first tree, we would only pick from trees [1,2].


 

Constraints:

 * 1 <= fruits.length <= 105
 * 0 <= fruits[i] < fruits.length",Solutions (2.9K),3.8K,"# Created by asetti2002 at 2024/04/17 02:14
# leetgo: 1.4.3
# https://leetcode.com/problems/fruit-into-baskets/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def totalFruit(self, fruits: List[int]) -> int:
        

# @lc code=end

if __name__ == ""__main__"":
    fruits: List[int] = deserialize(""List[int]"", read_line())
    ans = Solution().totalFruit(fruits)
    print(""\noutput:"", serialize(ans, ""integer""))
","class Solution:
    def totalFruit(self, fruits: List[int]) -> int:
        count = {}
        start = result = 0
        
        for end in range(len(fruits)):
            count[fruits[end]] = count.get(fruits[end], 0) + 1
            
            while len(count) > 2:
                count[fruits[start]] -= 1
                if count[fruits[start]] == 0:
                    del count[fruits[start]]
                start += 1
            
            result = max(result, end - start + 1)
        
        return result"
False,0,0,941,sort-array-by-parity,Sort Array By Parity,sort-array-by-parity,False,590539,781352,905,False,1,"Can you solve this real interview question? Sort Array By Parity - Given an integer array nums, move all the even integers at the beginning of the array followed by all the odd integers.

Return any array that satisfies this condition.

 

Example 1:


Input: nums = [3,1,2,4]
Output: [2,4,3,1]
Explanation: The outputs [4,2,3,1], [2,4,1,3], and [4,2,1,3] would also be accepted.


Example 2:


Input: nums = [0]
Output: [0]


 

Constraints:

 * 1 <= nums.length <= 5000
 * 0 <= nums[i] <= 5000",Solutions (5.7K),4.3K,"# Created by asetti2002 at 2024/04/17 02:14
# leetgo: 1.4.3
# https://leetcode.com/problems/sort-array-by-parity/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def sortArrayByParity(self, nums: List[int]) -> List[int]:
        

# @lc code=end

if __name__ == ""__main__"":
    nums: List[int] = deserialize(""List[int]"", read_line())
    ans = Solution().sortArrayByParity(nums)
    print(""\noutput:"", serialize(ans, ""integer[]""))
","class Solution:
    def sortArrayByParity(self, nums: List[int]) -> List[int]:
        return sorted(nums, key=lambda x: x % 2)"
False,0,0,942,super-palindromes,Super Palindromes,super-palindromes,False,22515,57927,906,False,3,"Can you solve this real interview question? Super Palindromes - Let's say a positive integer is a super-palindrome if it is a palindrome, and it is also the square of a palindrome.

Given two positive integers left and right represented as strings, return the number of super-palindromes integers in the inclusive range [left, right].

 

Example 1:


Input: left = ""4"", right = ""1000""
Output: 4
Explanation: 4, 9, 121, and 484 are superpalindromes.
Note that 676 is not a superpalindrome: 26 * 26 = 676, but 26 is not a palindrome.


Example 2:


Input: left = ""1"", right = ""2""
Output: 1


 

Constraints:

 * 1 <= left.length, right.length <= 18
 * left and right consist of only digits.
 * left and right cannot have leading zeros.
 * left and right represent integers in the range [1, 1018 - 1].
 * left is less than or equal to right.",Solutions (182),328,"# Created by asetti2002 at 2024/04/17 02:14
# leetgo: 1.4.3
# https://leetcode.com/problems/super-palindromes/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def superpalindromesInRange(self, left: str, right: str) -> int:
        

# @lc code=end

if __name__ == ""__main__"":
    left: str = deserialize(""str"", read_line())
    right: str = deserialize(""str"", read_line())
    ans = Solution().superpalindromesInRange(left, right)
    print(""\noutput:"", serialize(ans, ""integer""))
","class Solution:
    def superpalindromesInRange(self, left: str, right: str) -> int:
        def is_palindrome(s):
            return s == s[::-1]

        count = 0
        left = int(left)
        right = int(right)

        for i in range(10**5):
            s = str(i)
            l = int(s + s[::-1])
            if l * l > right:
                break
            if l * l >= left and is_palindrome(str(l * l)):
                count += 1

            for j in range(10):
                s = str(i)
                l = int(s + str(j) + s[::-1])
                if l * l > right:
                    break
                if l * l >= left and is_palindrome(str(l * l)):
                    count += 1

        return count"
False,0,0,943,sum-of-subarray-minimums,Sum of Subarray Minimums,sum-of-subarray-minimums,False,142914,399310,907,False,2,"Can you solve this real interview question? Sum of Subarray Minimums - Given an array of integers arr, find the sum of min(b), where b ranges over every (contiguous) subarray of arr. Since the answer may be large, return the answer modulo 109 + 7.

 

Example 1:


Input: arr = [3,1,2,4]
Output: 17
Explanation: 
Subarrays are [3], [1], [2], [4], [3,1], [1,2], [2,4], [3,1,2], [1,2,4], [3,1,2,4]. 
Minimums are 3, 1, 2, 4, 1, 1, 2, 1, 1, 1.
Sum is 17.


Example 2:


Input: arr = [11,81,94,43,3]
Output: 444


 

Constraints:

 * 1 <= arr.length <= 3 * 104
 * 1 <= arr[i] <= 3 * 104",Solutions (889),6K,"# Created by asetti2002 at 2024/04/17 02:14
# leetgo: 1.4.3
# https://leetcode.com/problems/sum-of-subarray-minimums/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def sumSubarrayMins(self, arr: List[int]) -> int:
        

# @lc code=end

if __name__ == ""__main__"":
    arr: List[int] = deserialize(""List[int]"", read_line())
    ans = Solution().sumSubarrayMins(arr)
    print(""\noutput:"", serialize(ans, ""integer""))
","from typing import List

class Solution:
    def sumSubarrayMins(self, arr: List[int]) -> int:
        mod = 10**9 + 7
        stack = []
        res = 0
        arr = [0] + arr + [0]
        for i, num in enumerate(arr):
            while stack and arr[stack[-1]] > num:
                j = stack.pop()
                k = stack[-1]
                res += arr[j] * (i - j) * (j - k)
            stack.append(i)
        return res % mod"
False,0,0,944,smallest-range-i,Smallest Range I,smallest-range-i,False,71183,104290,908,False,1,"Can you solve this real interview question? Smallest Range I - You are given an integer array nums and an integer k.

In one operation, you can choose any index i where 0 <= i < nums.length and change nums[i] to nums[i] + x where x is an integer from the range [-k, k]. You can apply this operation at most once for each index i.

The score of nums is the difference between the maximum and minimum elements in nums.

Return the minimum score of nums after applying the mentioned operation at most once for each index in it.

 

Example 1:


Input: nums = [1], k = 0
Output: 0
Explanation: The score is max(nums) - min(nums) = 1 - 1 = 0.


Example 2:


Input: nums = [0,10], k = 2
Output: 6
Explanation: Change nums to be [2, 8]. The score is max(nums) - min(nums) = 8 - 2 = 6.


Example 3:


Input: nums = [1,3,6], k = 3
Output: 0
Explanation: Change nums to be [4, 4, 4]. The score is max(nums) - min(nums) = 4 - 4 = 0.


 

Constraints:

 * 1 <= nums.length <= 104
 * 0 <= nums[i] <= 104
 * 0 <= k <= 104",Solutions (680),566,"# Created by asetti2002 at 2024/04/17 02:14
# leetgo: 1.4.3
# https://leetcode.com/problems/smallest-range-i/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def smallestRangeI(self, nums: List[int], k: int) -> int:
        

# @lc code=end

if __name__ == ""__main__"":
    nums: List[int] = deserialize(""List[int]"", read_line())
    k: int = deserialize(""int"", read_line())
    ans = Solution().smallestRangeI(nums, k)
    print(""\noutput:"", serialize(ans, ""integer""))
","class Solution:
    def smallestRangeI(self, nums: List[int], k: int) -> int:
        return max(0, max(nums) - min(nums) - 2*k)"
False,0,0,945,snakes-and-ladders,Snakes and Ladders,snakes-and-ladders,False,135931,301422,909,False,2,"Can you solve this real interview question? Snakes and Ladders - You are given an n x n integer matrix board where the cells are labeled from 1 to n2 in a Boustrophedon style [https://en.wikipedia.org/wiki/Boustrophedon] starting from the bottom left of the board (i.e. board[n - 1][0]) and alternating direction each row.

You start on square 1 of the board. In each move, starting from square curr, do the following:

 * Choose a destination square next with a label in the range [curr + 1, min(curr + 6, n2)].
   * This choice simulates the result of a standard 6-sided die roll: i.e., there are always at most 6 destinations, regardless of the size of the board.
 * If next has a snake or ladder, you must move to the destination of that snake or ladder. Otherwise, you move to next.
 * The game ends when you reach the square n2.

A board square on row r and column c has a snake or ladder if board[r][c] != -1. The destination of that snake or ladder is board[r][c]. Squares 1 and n2 do not have a snake or ladder.

Note that you only take a snake or ladder at most once per move. If the destination to a snake or ladder is the start of another snake or ladder, you do not follow the subsequent snake or ladder.

 * For example, suppose the board is [[-1,4],[-1,3]], and on the first move, your destination square is 2. You follow the ladder to square 3, but do not follow the subsequent ladder to 4.

Return the least number of moves required to reach the square n2. If it is not possible to reach the square, return -1.

 

Example 1:

[https://assets.leetcode.com/uploads/2018/09/23/snakes.png]


Input: board = [[-1,-1,-1,-1,-1,-1],[-1,-1,-1,-1,-1,-1],[-1,-1,-1,-1,-1,-1],[-1,35,-1,-1,13,-1],[-1,-1,-1,-1,-1,-1],[-1,15,-1,-1,-1,-1]]
Output: 4
Explanation: 
In the beginning, you start at square 1 (at row 5, column 0).
You decide to move to square 2 and must take the ladder to square 15.
You then decide to move to square 17 and must take the snake to square 13.
You then decide to move to square 14 and must take the ladder to square 35.
You then decide to move to square 36, ending the game.
This is the lowest possible number of moves to reach the last square, so return 4.


Example 2:


Input: board = [[-1,-1],[-1,3]]
Output: 1


 

Constraints:

 * n == board.length == board[i].length
 * 2 <= n <= 20
 * board[i][j] is either -1 or in the range [1, n2].
 * The squares labeled 1 and n2 do not have any ladders or snakes.",Solutions (1K),2.3K,"# Created by asetti2002 at 2024/04/17 02:14
# leetgo: 1.4.3
# https://leetcode.com/problems/snakes-and-ladders/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def snakesAndLadders(self, board: List[List[int]]) -> int:
        

# @lc code=end

if __name__ == ""__main__"":
    board: List[List[int]] = deserialize(""List[List[int]]"", read_line())
    ans = Solution().snakesAndLadders(board)
    print(""\noutput:"", serialize(ans, ""integer""))
","class Solution:
    def snakesAndLadders(self, board: List[List[int]]) -> int:
        pass"
False,0,0,946,smallest-range-ii,Smallest Range II,smallest-range-ii,False,46049,131044,910,False,2,"Can you solve this real interview question? Smallest Range II - You are given an integer array nums and an integer k.

For each index i where 0 <= i < nums.length, change nums[i] to be either nums[i] + k or nums[i] - k.

The score of nums is the difference between the maximum and minimum elements in nums.

Return the minimum score of nums after changing the values at each index.

 

Example 1:


Input: nums = [1], k = 0
Output: 0
Explanation: The score is max(nums) - min(nums) = 1 - 1 = 0.


Example 2:


Input: nums = [0,10], k = 2
Output: 6
Explanation: Change nums to be [2, 8]. The score is max(nums) - min(nums) = 8 - 2 = 6.


Example 3:


Input: nums = [1,3,6], k = 3
Output: 3
Explanation: Change nums to be [4, 6, 3]. The score is max(nums) - min(nums) = 6 - 3 = 3.


 

Constraints:

 * 1 <= nums.length <= 104
 * 0 <= nums[i] <= 104
 * 0 <= k <= 104",Solutions (213),1.5K,"# Created by asetti2002 at 2024/04/17 02:14
# leetgo: 1.4.3
# https://leetcode.com/problems/smallest-range-ii/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def smallestRangeII(self, nums: List[int], k: int) -> int:
        

# @lc code=end

if __name__ == ""__main__"":
    nums: List[int] = deserialize(""List[int]"", read_line())
    k: int = deserialize(""int"", read_line())
    ans = Solution().smallestRangeII(nums, k)
    print(""\noutput:"", serialize(ans, ""integer""))
","class Solution:
    def smallestRangeII(self, nums: List[int], k: int) -> int:
        nums.sort()
        n = len(nums)
        ans = nums[-1] - nums[0]
        for i in range(n - 1):
            a = max(nums[-1], nums[i] + 2 * k)
            b = min(nums[0] + 2 * k, nums[i + 1])
            ans = min(ans, a - b)
        return ans"
False,0,0,948,sort-an-array,Sort an Array,sort-an-array,False,441604,740502,912,False,2,"Can you solve this real interview question? Sort an Array - Given an array of integers nums, sort the array in ascending order and return it.

You must solve the problem without using any built-in functions in O(nlog(n)) time complexity and with the smallest space complexity possible.

 

Example 1:


Input: nums = [5,2,3,1]
Output: [1,2,3,5]
Explanation: After sorting the array, the positions of some numbers are not changed (for example, 2 and 3), while the positions of other numbers are changed (for example, 1 and 5).


Example 2:


Input: nums = [5,1,1,2,0,0]
Output: [0,0,1,1,2,5]
Explanation: Note that the values of nums are not necessairly unique.


 

Constraints:

 * 1 <= nums.length <= 5 * 104
 * -5 * 104 <= nums[i] <= 5 * 104",Solutions (2.7K),4.7K,"# Created by asetti2002 at 2024/04/17 02:14
# leetgo: 1.4.3
# https://leetcode.com/problems/sort-an-array/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def sortArray(self, nums: List[int]) -> List[int]:
        

# @lc code=end

if __name__ == ""__main__"":
    nums: List[int] = deserialize(""List[int]"", read_line())
    ans = Solution().sortArray(nums)
    print(""\noutput:"", serialize(ans, ""integer[]""))
","class Solution:
    def sortArray(self, nums: List[int]) -> List[int]:
        def merge_sort(arr):
            if len(arr) <= 1:
                return arr
            mid = len(arr) // 2
            left = merge_sort(arr[:mid])
            right = merge_sort(arr[mid:])
            return merge(left, right)
        
        def merge(left, right):
            result = []
            i = j = 0
            while i < len(left) and j < len(right):
                if left[i] < right[j]:
                    result.append(left[i])
                    i += 1
                else:
                    result.append(right[j])
                    j += 1
            result += left[i:]
            result += right[j:]
            return result
        
        return merge_sort(nums)"
False,0,0,949,cat-and-mouse-game,Cat and Mouse,cat-and-mouse,False,17027,48800,913,False,3,"Can you solve this real interview question? Cat and Mouse - A game on an undirected graph is played by two players, Mouse and Cat, who alternate turns.

The graph is given as follows: graph[a] is a list of all nodes b such that ab is an edge of the graph.

The mouse starts at node 1 and goes first, the cat starts at node 2 and goes second, and there is a hole at node 0.

During each player's turn, they must travel along one edge of the graph that meets where they are.  For example, if the Mouse is at node 1, it must travel to any node in graph[1].

Additionally, it is not allowed for the Cat to travel to the Hole (node 0.)

Then, the game can end in three ways:

 * If ever the Cat occupies the same node as the Mouse, the Cat wins.
 * If ever the Mouse reaches the Hole, the Mouse wins.
 * If ever a position is repeated (i.e., the players are in the same position as a previous turn, and it is the same player's turn to move), the game is a draw.

Given a graph, and assuming both players play optimally, return

 * 1 if the mouse wins the game,
 * 2 if the cat wins the game, or
 * 0 if the game is a draw.

 

Example 1:

[https://assets.leetcode.com/uploads/2020/11/17/cat1.jpg]


Input: graph = [[2,5],[3],[0,4,5],[1,4,5],[2,3],[0,2,3]]
Output: 0


Example 2:

[https://assets.leetcode.com/uploads/2020/11/17/cat2.jpg]


Input: graph = [[1,3],[0],[3],[0,2]]
Output: 1


 

Constraints:

 * 3 <= graph.length <= 50
 * 1 <= graph[i].length < graph.length
 * 0 <= graph[i][j] < graph.length
 * graph[i][j] != i
 * graph[i] is unique.
 * The mouse and the cat can always move. ",Solutions (127),794,"# Created by asetti2002 at 2024/04/17 02:14
# leetgo: 1.4.3
# https://leetcode.com/problems/cat-and-mouse/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def catMouseGame(self, graph: List[List[int]]) -> int:
        

# @lc code=end

if __name__ == ""__main__"":
    graph: List[List[int]] = deserialize(""List[List[int]]"", read_line())
    ans = Solution().catMouseGame(graph)
    print(""\noutput:"", serialize(ans, ""integer""))
","class Solution:
    def catMouseGame(self, graph: List[List[int]]) -> int:
        pass"
False,0,0,950,x-of-a-kind-in-a-deck-of-cards,X of a Kind in a Deck of Cards,x-of-a-kind-in-a-deck-of-cards,False,103057,329843,914,False,1,"Can you solve this real interview question? X of a Kind in a Deck of Cards - You are given an integer array deck where deck[i] represents the number written on the ith card.

Partition the cards into one or more groups such that:

 * Each group has exactly x cards where x > 1, and
 * All the cards in one group have the same integer written on them.

Return true if such partition is possible, or false otherwise.

 

Example 1:


Input: deck = [1,2,3,4,4,3,2,1]
Output: true
Explanation: Possible partition [1,1],[2,2],[3,3],[4,4].


Example 2:


Input: deck = [1,1,1,2,2,2,3,3]
Output: false
Explanation: No possible partition.


 

Constraints:

 * 1 <= deck.length <= 104
 * 0 <= deck[i] < 104",Solutions (734),1.6K,"# Created by asetti2002 at 2024/04/17 02:14
# leetgo: 1.4.3
# https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def hasGroupsSizeX(self, deck: List[int]) -> bool:
        

# @lc code=end

if __name__ == ""__main__"":
    deck: List[int] = deserialize(""List[int]"", read_line())
    ans = Solution().hasGroupsSizeX(deck)
    print(""\noutput:"", serialize(ans, ""boolean""))
","class Solution:
    def hasGroupsSizeX(self, deck: List[int]) -> bool:
        pass"
False,0,0,951,parition-array-into-disjoint-intervals,Partition Array into Disjoint Intervals,partition-array-into-disjoint-intervals,False,73685,151844,915,False,2,"Can you solve this real interview question? Partition Array into Disjoint Intervals - Given an integer array nums, partition it into two (contiguous) subarrays left and right so that:

 * Every element in left is less than or equal to every element in right.
 * left and right are non-empty.
 * left has the smallest possible size.

Return the length of left after such a partitioning.

Test cases are generated such that partitioning exists.

 

Example 1:


Input: nums = [5,0,3,8,6]
Output: 3
Explanation: left = [5,0,3], right = [8,6]


Example 2:


Input: nums = [1,1,1,0,6,12]
Output: 4
Explanation: left = [1,1,1,0], right = [6,12]


 

Constraints:

 * 2 <= nums.length <= 105
 * 0 <= nums[i] <= 106
 * There is at least one valid answer for the given input.",Solutions (591),1.4K,"# Created by asetti2002 at 2024/04/17 02:14
# leetgo: 1.4.3
# https://leetcode.com/problems/partition-array-into-disjoint-intervals/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def partitionDisjoint(self, nums: List[int]) -> int:
        

# @lc code=end

if __name__ == ""__main__"":
    nums: List[int] = deserialize(""List[int]"", read_line())
    ans = Solution().partitionDisjoint(nums)
    print(""\noutput:"", serialize(ans, ""integer""))
","class Solution:
    def partitionDisjoint(self, nums: List[int]) -> int:
        maxLeft = nums[0]
        partitionIdx = 0
        curMax = maxLeft
        
        for i in range(1, len(nums)):
            if nums[i] < maxLeft:
                maxLeft = curMax
                partitionIdx = i
            else:
                curMax = max(curMax, nums[i])
        
        return partitionIdx + 1"
False,0,0,952,word-subsets,Word Subsets,word-subsets,False,107772,200579,916,False,2,"Can you solve this real interview question? Word Subsets - You are given two string arrays words1 and words2.

A string b is a subset of string a if every letter in b occurs in a including multiplicity.

 * For example, ""wrr"" is a subset of ""warrior"" but is not a subset of ""world"".

A string a from words1 is universal if for every string b in words2, b is a subset of a.

Return an array of all the universal strings in words1. You may return the answer in any order.

 

Example 1:


Input: words1 = [""amazon"",""apple"",""facebook"",""google"",""leetcode""], words2 = [""e"",""o""]
Output: [""facebook"",""google"",""leetcode""]


Example 2:


Input: words1 = [""amazon"",""apple"",""facebook"",""google"",""leetcode""], words2 = [""l"",""e""]
Output: [""apple"",""google"",""leetcode""]


 

Constraints:

 * 1 <= words1.length, words2.length <= 104
 * 1 <= words1[i].length, words2[i].length <= 10
 * words1[i] and words2[i] consist only of lowercase English letters.
 * All the strings of words1 are unique.",Solutions (1.1K),2.6K,"# Created by asetti2002 at 2024/04/17 02:14
# leetgo: 1.4.3
# https://leetcode.com/problems/word-subsets/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def wordSubsets(self, words1: List[str], words2: List[str]) -> List[str]:
        

# @lc code=end

if __name__ == ""__main__"":
    words1: List[str] = deserialize(""List[str]"", read_line())
    words2: List[str] = deserialize(""List[str]"", read_line())
    ans = Solution().wordSubsets(words1, words2)
    print(""\noutput:"", serialize(ans, ""string[]""))
","class Solution:
    def wordSubsets(self, words1: List[str], words2: List[str]) -> List[str]:
        from collections import Counter
        res = []
        count = Counter()
        for word in words2:
            count |= Counter(word)
            
        for word in words1:
            if all(word.count(letter) >= count[letter] for letter in count):
                res.append(word)
        
        return res"
False,0,0,953,reverse-only-letters,Reverse Only Letters,reverse-only-letters,False,160021,258105,917,False,1,"Can you solve this real interview question? Reverse Only Letters - Given a string s, reverse the string according to the following rules:

 * All the characters that are not English letters remain in the same position.
 * All the English letters (lowercase or uppercase) should be reversed.

Return s after reversing it.

 

Example 1:

Input: s = ""ab-cd""
Output: ""dc-ba""


Example 2:

Input: s = ""a-bC-dEf-ghIj""
Output: ""j-Ih-gfE-dCba""


Example 3:

Input: s = ""Test1ng-Leet=code-Q!""
Output: ""Qedo1ct-eeLg=ntse-T!""


 

Constraints:

 * 1 <= s.length <= 100
 * s consists of characters with ASCII values in the range [33, 122].
 * s does not contain '\""' or '\\'.",Solutions (2.1K),1.8K,"# Created by asetti2002 at 2024/04/17 02:14
# leetgo: 1.4.3
# https://leetcode.com/problems/reverse-only-letters/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def reverseOnlyLetters(self, s: str) -> str:
        

# @lc code=end

if __name__ == ""__main__"":
    s: str = deserialize(""str"", read_line())
    ans = Solution().reverseOnlyLetters(s)
    print(""\noutput:"", serialize(ans, ""string""))
","class Solution:
    def reverseOnlyLetters(self, s: str) -> str:
        letters = [c for c in s if c.isalpha()]
        res = []
        for c in s:
            if c.isalpha():
                res.append(letters.pop())
            else:
                res.append(c)
        return """".join(res)"
False,0,0,954,maximum-sum-circular-subarray,Maximum Sum Circular Subarray,maximum-sum-circular-subarray,False,204375,476529,918,False,2,"Can you solve this real interview question? Maximum Sum Circular Subarray - Given a circular integer array nums of length n, return the maximum possible sum of a non-empty subarray of nums.

A circular array means the end of the array connects to the beginning of the array. Formally, the next element of nums[i] is nums[(i + 1) % n] and the previous element of nums[i] is nums[(i - 1 + n) % n].

A subarray may only include each element of the fixed buffer nums at most once. Formally, for a subarray nums[i], nums[i + 1], ..., nums[j], there does not exist i <= k1, k2 <= j with k1 % n == k2 % n.

 

Example 1:


Input: nums = [1,-2,3,-2]
Output: 3
Explanation: Subarray [3] has maximum sum 3.


Example 2:


Input: nums = [5,-3,5]
Output: 10
Explanation: Subarray [5,5] has maximum sum 5 + 5 = 10.


Example 3:


Input: nums = [-3,-2,-3]
Output: -2
Explanation: Subarray [-2] has maximum sum -2.


 

Constraints:

 * n == nums.length
 * 1 <= n <= 3 * 104
 * -3 * 104 <= nums[i] <= 3 * 104",Solutions (1.5K),5.7K,"# Created by asetti2002 at 2024/04/17 02:14
# leetgo: 1.4.3
# https://leetcode.com/problems/maximum-sum-circular-subarray/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def maxSubarraySumCircular(self, nums: List[int]) -> int:
        

# @lc code=end

if __name__ == ""__main__"":
    nums: List[int] = deserialize(""List[int]"", read_line())
    ans = Solution().maxSubarraySumCircular(nums)
    print(""\noutput:"", serialize(ans, ""integer""))
","class Solution:
    def maxSubarraySumCircular(self, nums: List[int]) -> int:
        n = len(nums)
        total_sum = sum(nums)
        max_sum = float('-inf')
        min_sum = float('inf')
        curr_max = 0
        curr_min = 0

        for num in nums:
            curr_max = max(curr_max + num, num)
            max_sum = max(max_sum, curr_max)
            curr_min = min(curr_min + num, num)
            min_sum = min(min_sum, curr_min)

        if max_sum > 0:
            return max(max_sum, total_sum - min_sum)
        else:
            return max_sum"
False,0,0,956,number-of-music-playlists,Number of Music Playlists,number-of-music-playlists,False,22404,44070,920,False,3,"Can you solve this real interview question? Number of Music Playlists - Your music player contains n different songs. You want to listen to goal songs (not necessarily different) during your trip. To avoid boredom, you will create a playlist so that:

 * Every song is played at least once.
 * A song can only be played again only if k other songs have been played.

Given n, goal, and k, return the number of possible playlists that you can create. Since the answer can be very large, return it modulo 109 + 7.

 

Example 1:


Input: n = 3, goal = 3, k = 1
Output: 6
Explanation: There are 6 possible playlists: [1, 2, 3], [1, 3, 2], [2, 1, 3], [2, 3, 1], [3, 1, 2], and [3, 2, 1].


Example 2:


Input: n = 2, goal = 3, k = 0
Output: 6
Explanation: There are 6 possible playlists: [1, 1, 2], [1, 2, 1], [2, 1, 1], [2, 2, 1], [2, 1, 2], and [1, 2, 2].


Example 3:


Input: n = 2, goal = 3, k = 1
Output: 2
Explanation: There are 2 possible playlists: [1, 2, 1] and [2, 1, 2].


 

Constraints:

 * 0 <= k < n <= goal <= 100",Solutions (126),875,"# Created by asetti2002 at 2024/04/17 02:14
# leetgo: 1.4.3
# https://leetcode.com/problems/number-of-music-playlists/

from typing import *
from leetgo_py import *

# @lc code=begin

class Solution:
    def numMusicPlaylists(self, n: int, goal: int, k: int) -> int:
        

# @lc code=end

if __name__ == ""__main__"":
    n: int = deserialize(""int"", read_line())
    goal: int = deserialize(""int"", read_line())
    k: int = deserialize(""int"", read_line())
    ans = Solution().numMusicPlaylists(n, goal, k)
    print(""\noutput:"", serialize(ans, ""integer""))
","class Solution:
    def numMusicPlaylists(self, n: int, goal: int, k: int) -> int:
        MOD = 10**9 + 7
        dp = [[0] * (n + 1) for _ in range(goal + 1)]
        dp[0][0] = 1
        for i in range(1, goal + 1):
            for j in range(1, n + 1):
                dp[i][j] += dp[i - 1][j - 1] * (n - j + 1)
                dp[i][j] += dp[i - 1][j] * max(j - k, 0)
                dp[i][j] %= MOD
        return dp[goal][n]"
